,,Project timeline,,,,,
,,,,,,,
,,Data Breach Capstone Timeline,,,,,
,,DATE,MILESTONE,Completed Task,Roadblocks,NOTES,
,,4-Oct,Project Start,Read both Data Sets in the python. Created a graph to Type of Data Breaches,,Next Task is to create a accurate year column using datetime function.,
,,7-Oct,Clean the Data,,,,
,,9-Oct,Clean the Data,,,,
,,11-Oct,Begin Analysis,,,,
,,14-Oct,Part 2 of Analysis and Visuals,,,,
,,,,,,,
,,16-Oct,Begin Power BI,,,,
,,,Design,,,,
,,18-Oct,Complete Power BI Dashboard,,,,
,,,Proofread,,,,
,,21-Oct,Project Complete : Capstone Demo Day,,,,
,,4-Nov,Project End : Capstone Showcase,,,,
,,,,,,,
